store_name,c1,c2,location,new_address,X,Y
태양,실내스포츠,기타실내운동시설,서초구,서울특별시 서초구 방배로 83-11,37.48209242,126.9964762
타워피엠씨-래미안퍼스티지생활지원센터,실내스포츠,기타실내운동시설,서초구,서울특별시 서초구 반포대로 275,37.50254078,126.9990074
전병호탁구클럽,실내스포츠,기타실내운동시설,서초구,서울특별시 서초구 명달로 3,37.47804092,127.0064572
박창호탁구교실,실내스포츠,기타실내운동시설,서초구,서울특별시 서초구 서초대로42길 66,37.48915988,127.0096684
멘토짐어린이스포츠,실내스포츠,기타실내운동시설,서초구,서울특별시 서초구 고무래로 10-6,37.50355002,127.0097046
대한검도회,실내스포츠,기타실내운동시설,중구,서울특별시 중구 다산로8길 20,37.55269976,127.0104806
포디그린서초점,실내스포츠,기타실내운동시설,서초구,서울특별시 서초구 서초대로48길 44,37.49093587,127.0119292
탑필라테스,실내스포츠,기타실내운동시설,성북구,서울특별시 성북구 보문로37길 9,37.59095313,127.0131222
웨이브피트니스케어,실내스포츠,기타실내운동시설,서초구,서울특별시 서초구 반포대로14길 71,37.48684012,127.0145726
아이레그플러스운동,실내스포츠,기타실내운동시설,서초구,서울특별시 서초구 나루터로 62,37.51498934,127.0167704
가향,실내스포츠,기타실내운동시설,성동구,서울특별시 성동구 장터길 36,37.54814629,127.0198206
서울탁구교실,실내스포츠,기타실내운동시설,서초구,서울특별시 서초구 서운로 207,37.50151483,127.0217425
라온골프,실내스포츠,기타실내운동시설,강남구,서울특별시 강남구 학동로 105,37.51184381,127.0220941
라온케이앤더댄스,실내스포츠,기타실내운동시설,강남구,서울특별시 강남구 논현로164길 6,37.52360434,127.0288642
아테네탁구장,실내스포츠,기타실내운동시설,동대문구,서울특별시 동대문구 안암로 80,37.5829657,127.0300071
엠비에이,실내스포츠,기타실내운동시설,강남구,서울특별시 강남구 역삼로 120,37.49354965,127.0327026
TNT,실내스포츠,기타실내운동시설,강남구,서울특별시 강남구 학동로43길 26,37.51781105,127.0377289
랜드,실내스포츠,기타실내운동시설,강남구,서울특별시 강남구 학동로 320,37.5160027,127.0380689
